family,n_layers,mu0H_max_T,frequency_Hz,fluid_mdot_kgs,mass_per_stage_kg,regen_effectiveness,blow_fraction,particle_diameter_mm,COP_cascade,Qc_W,cost_index_USD
Gd,1,1.277,2.872,0.4904,2.24,0.803,0.417,0.3393,4.862,8213.2,408.6
Gd,1,1.015,0.76,0.487,8.11,0.614,0.42,0.3694,6.075,8019.4,1212.3
Gd,1,1.295,1.972,0.4903,2.05,0.817,0.416,0.359,5.856,7205.3,378.5
Gd,1,1.277,0.505,0.4909,2.24,0.619,0.417,0.3696,8.414,7211.0,408.6
Gd,1,1.277,4.68,0.4904,2.28,0.829,0.416,0.3696,3.333,9036.8,417.5
Gd,2,1.317,0.474,0.4406,2.16,0.779,0.401,1.2417,5.898,9586.4,812.4
Gd,2,1.293,1.382,0.454,8.09,0.689,0.4,0.3674,3.589,13607.0,2993.1
Gd,2,2.766,0.474,0.4887,14.0,0.779,0.401,1.2417,4.511,13829.4,10432.1
Gd,2,2.749,0.524,0.4909,7.48,0.613,0.421,1.1318,4.854,12046.7,5543.5
Gd,2,1.56,0.483,0.4925,3.34,0.826,0.401,0.5999,5.689,11523.0,1463.8
Gd,2,1.242,4.505,0.4958,3.04,0.861,0.371,0.5668,2.414,14000.6,1084.1
Gd,2,1.556,0.833,0.4925,3.33,0.798,0.371,0.5828,4.993,10925.6,1453.7
Gd,3,2.176,4.902,0.4985,6.38,0.615,0.417,0.3446,0.928,18707.6,5688.2
Gd,3,1.277,0.519,0.491,1.23,0.621,0.42,0.3695,4.636,12747.5,672.2
Gd,3,2.347,0.395,0.4912,14.84,0.619,0.429,1.7216,3.538,14730.6,14210.3
Gd,3,2.21,1.524,0.4958,8.13,0.621,0.417,0.3695,2.457,17391.5,7357.9
Gd,3,1.277,1.414,0.491,2.24,0.619,0.417,0.2241,3.55,13020.9,1225.8
Gd,3,2.177,4.749,0.4918,2.21,0.862,0.416,0.4021,1.11,16650.3,1968.7
Gd,3,1.579,2.583,0.4894,2.87,0.781,0.417,0.2179,2.498,15480.5,1903.6
Gd,3,1.303,2.441,0.4909,2.2,0.618,0.417,0.3695,2.917,13976.5,1229.5
Gd,3,2.224,0.553,0.4918,6.1,0.619,0.42,0.4134,3.701,13482.9,5558.7
Gd,3,1.263,1.524,0.4959,8.13,0.621,0.417,0.3695,2.682,16833.5,4413.5
Gd,3,1.303,2.441,0.491,3.56,0.619,0.417,0.3856,2.724,15775.1,1988.0
Gd,3,1.322,4.902,0.4985,6.38,0.615,0.417,0.3295,1.337,18170.0,3607.5
Gd,3,1.304,2.239,0.491,14.46,0.618,0.417,0.5967,1.677,17919.8,8081.1
Gd,3,1.315,2.412,0.495,8.4,0.81,0.417,0.3448,2.062,17626.2,4726.7
Gd,3,1.329,2.239,0.4874,5.8,0.783,0.443,0.5834,2.47,16244.5,3295.7
Gd,3,2.234,0.449,0.494,2.22,0.619,0.42,0.3697,4.42,13423.9,2034.2
